Vehicle_ID,Region_Type,Vehicle_Type,Speed_kmph,Acceleration_mps2,RSU_Energy_Source,RSU_Power_kW,Traffic_Density_Vehicles_per_km,Distance_to_RSU_m,Signal_Strength_dBm,Packet_Size_KB,Transmission_Latency_ms,Energy_Consumption_J,Carbon_Emission_gCO2,Optimal_Route_Score,Carbon_Emission_Level
V0001,Highway,Bus,83.18,-1.95,Non-Renewable,4.49,106,331.62,-88.2,855,25.29,278.44,278.44,74.33,Medium
V0002,Urban,Bus,45.98,2.13,Renewable,4.0,45,933.17,-57.08,531,6.01,413.58,82.72,109.32,Low
V0003,Highway,Bus,83.4,-1.64,Renewable,7.23,118,168.38,-75.66,683,78.77,215.64,43.13,65.63,Low
V0004,Highway,Bus,74.0,2.02,Renewable,6.95,64,669.85,-62.02,843,83.06,106.29,21.26,71.4,Low
V0005,Urban,EV,97.98,-1.32,Renewable,4.66,194,100.08,-76.03,946,10.65,68.67,13.73,100.97,Low
V0006,Urban,Car,30.7,0.86,Non-Renewable,9.42,78,473.86,-72.56,821,63.04,176.68,176.68,68.37,Medium
V0007,Highway,EV,96.1,1.16,Renewable,8.76,70,576.28,-43.84,88,40.93,159.91,31.98,101.02,Low
V0008,Suburban,EV,74.13,0.08,Non-Renewable,3.79,139,333.06,-79.67,615,80.42,302.16,302.16,49.85,High
V0009,Highway,Bus,116.3,-1.17,Hybrid,3.91,64,482.32,-46.29,561,88.07,59.78,29.89,76.33,Low
V0010,Highway,Truck,54.19,-1.72,Hybrid,6.1,131,205.38,-88.48,523,85.85,284.26,142.13,50.73,Low
V0011,Highway,Truck,83.26,-2.8,Renewable,8.19,106,338.92,-85.46,210,78.83,226.3,45.26,60.59,Low
V0012,Highway,EV,113.2,-1.18,Hybrid,2.35,89,640.05,-47.27,338,30.56,309.71,154.85,98.34,Medium
V0013,Urban,EV,30.25,0.92,Hybrid,7.55,96,336.71,-58.47,249,82.13,366.09,183.04,65.55,Medium
V0014,Highway,Bus,113.72,2.63,Hybrid,7.19,47,904.76,-52.64,837,55.68,335.34,167.67,82.46,Medium
V0015,Suburban,EV,88.79,2.23,Renewable,3.85,128,646.99,-79.53,577,10.01,493.09,98.62,95.3,Low
V0016,Urban,Bus,26.78,1.6,Renewable,7.45,87,466.72,-63.15,966,48.41,112.22,22.44,88.1,Low
V0017,Suburban,Truck,50.1,1.73,Hybrid,9.52,166,86.82,-53.14,734,94.51,243.38,121.69,65.09,Low
V0018,Suburban,Truck,90.82,0.99,Non-Renewable,2.37,163,524.57,-58.63,552,89.35,241.17,241.17,58.95,Medium
V0019,Suburban,Car,26.74,-1.44,Hybrid,4.56,44,776.54,-66.42,297,14.72,237.67,118.84,98.49,Low
V0020,Suburban,Truck,78.22,2.44,Renewable,5.51,88,302.28,-42.01,432,75.69,348.71,69.74,82.66,Low
V0021,Urban,EV,54.59,1.02,Renewable,9.19,76,816.43,-56.19,267,81.55,270.42,54.08,73.43,Low
V0022,Urban,Truck,82.09,0.36,Renewable,9.7,96,289.22,-44.61,136,30.78,282.84,56.57,104.48,Low
V0023,Suburban,Bus,24.57,-2.33,Hybrid,5.55,166,832.56,-53.51,131,49.8,244.56,122.28,87.23,Low
V0024,Suburban,Truck,107.15,-0.32,Non-Renewable,8.0,43,131.0,-53.23,111,72.54,496.26,496.26,57.3,High
V0025,Urban,Car,117.35,-0.24,Renewable,6.25,106,872.87,-86.0,848,46.71,467.4,93.48,73.97,Low
V0026,Urban,Truck,116.89,2.19,Renewable,6.3,178,524.23,-72.03,549,15.72,188.48,37.7,99.24,Low
V0027,Urban,Bus,94.97,0.28,Hybrid,4.22,178,331.71,-47.08,91,72.06,100.22,50.11,82.92,Low
V0028,Highway,Bus,33.01,-0.72,Non-Renewable,3.74,160,301.86,-78.37,61,91.61,427.89,427.89,38.62,High
V0029,Highway,EV,95.83,2.86,Hybrid,4.3,80,460.41,-84.22,882,66.99,498.73,249.36,56.93,Medium
V0030,Highway,Truck,22.46,-2.34,Renewable,6.45,12,999.1,-73.69,795,78.51,181.67,36.33,67.08,Low
V0031,Suburban,Bus,22.21,-0.46,Non-Renewable,2.23,67,259.31,-78.98,890,39.04,211.0,211.0,75.44,Medium
V0032,Highway,Car,52.36,-2.75,Non-Renewable,9.26,41,148.06,-43.74,692,22.4,473.73,473.73,88.24,High
V0033,Suburban,EV,68.86,1.44,Renewable,3.25,40,605.78,-46.6,164,66.06,370.01,74.0,84.97,Low
V0034,Suburban,Car,97.04,2.51,Non-Renewable,3.76,91,514.12,-65.02,267,36.14,183.04,183.04,85.27,Medium
V0035,Highway,Truck,88.33,-1.32,Non-Renewable,6.15,52,547.99,-86.93,698,86.71,311.47,311.47,42.61,High
V0036,Suburban,Truck,64.59,2.15,Hybrid,7.68,144,683.59,-54.27,155,16.65,474.9,237.45,97.67,Medium
V0037,Highway,Truck,47.36,-1.25,Renewable,2.77,114,303.79,-58.83,740,46.18,415.32,83.06,88.34,Low
V0038,Highway,EV,119.71,2.46,Renewable,4.54,10,915.13,-41.47,577,42.69,383.82,76.76,99.08,Low
V0039,Urban,Bus,62.62,1.52,Renewable,9.75,70,463.89,-62.05,521,94.12,381.65,76.33,63.1,Low
V0040,Highway,EV,65.14,1.83,Renewable,4.1,23,172.63,-73.18,803,19.55,130.11,26.02,97.33,Low
V0041,Urban,Car,36.36,-2.89,Renewable,4.5,189,755.18,-64.05,895,5.94,421.11,84.22,105.79,Low
V0042,Highway,EV,99.48,2.78,Non-Renewable,8.69,15,660.95,-41.04,942,27.62,174.25,174.25,101.96,Medium
V0043,Highway,Car,89.37,1.36,Hybrid,2.4,112,349.96,-55.18,436,82.93,468.66,234.33,64.23,Medium
V0044,Urban,EV,42.08,-1.17,Renewable,5.72,19,640.44,-56.4,275,24.89,214.09,42.82,102.21,Low
V0045,Urban,Bus,28.24,1.98,Hybrid,5.04,80,258.87,-77.97,530,27.88,435.95,217.98,81.18,Medium
V0046,Highway,Car,88.05,-1.31,Hybrid,4.53,99,472.6,-52.82,803,17.34,169.81,84.9,105.68,Low
V0047,Suburban,Truck,85.45,2.24,Non-Renewable,4.29,167,904.44,-52.49,457,72.97,281.54,281.54,68.19,Medium
V0048,Urban,Truck,47.33,-2.32,Renewable,2.73,158,176.86,-74.14,506,11.57,98.1,19.62,101.16,Low
V0049,Suburban,EV,115.09,1.22,Non-Renewable,4.52,135,417.36,-65.81,702,36.46,347.05,347.05,76.51,High
V0050,Suburban,Truck,35.11,0.24,Renewable,2.34,197,830.09,-75.27,947,31.84,426.24,85.25,87.18,Low
